country_name,year,country_code,literacy_rate_adult_female_of_females_ages_15_and_above,literacy_rate_adult_male_of_males_ages_15_and_above,literacy_rate_adult_total_of_people_ages_15_and_above,literacy_rate_youth_male_of_males_ages_1524,literacy_rate_youth_total_of_people_ages_1524,number_of_deaths_ages_1014_years,number_of_deaths_ages_1519_years,number_of_deaths_ages_2024_years,number_of_deaths_ages_59_years,number_of_infant_deaths,number_of_infant_deaths_female,number_of_infant_deaths_male,number_of_maternal_deaths,number_of_neonatal_deaths,number_of_stillbirths,total_alcohol_consumption_per_capita_female_liters_of_pure_alco,total_alcohol_consumption_per_capita_male_liters_of_pure_alcoho,tuberculosis_death_rate_per_100000_people,unemployment_female_of_female_labor_force,unemployment_male_of_male_labor_force,unemployment_total_of_total_labor_force,capital_health_expenditure_of_gdp,cause_of_death_by_communicable_diseases_and_maternal_prenatal_a,cause_of_death_by_injury_of_total,cause_of_death_by_noncommunicable_diseases_of_total,children_014_living_with_hiv,children_ages_014_newly_infected_with_hiv,condom_use_population_ages_1524_female_of_females_ages_1524,condom_use_population_ages_1524_male_of_males_ages_1524,consumption_of_iodized_salt_of_households,contraceptive_prevalence_any_methods_of_women_ages_1549,contraceptive_prevalence_modern_methods_of_women_ages_1549,current_health_expenditure_of_gdp,demand_for_family_planning_satisfied_by_any_methods_of_married_,demand_for_family_planning_satisfied_by_modern_methods_of_marri,diabetes_prevalence_of_population_ages_20_to_79,exclusive_breastfeeding_of_children_under_6_months,external_health_expenditure_of_current_health_expenditure,external_health_expenditure_channeled_through_government_of_ext,external_health_expenditure_per_capita_ppp_current_internationa
Myanmar,2010,MMR,0,0,0,0,0,3890,5667,7520,6563,48829,21545,27284,2700,28284,16639,1.16,4.78,99,0.878000021,0.717999995,0.785000026,0.06877097,31.4,8.1,60.4,10000,1500,0,0,0,46,45.8,1.87254584,0,0,3.2,23.6,9.41455936,31.83174913,6.20788288
Myanmar,2018,MMR,0,0,0,0,0,2334,3462,5576,2470,34666,15221,19445,0,21728,13734,2.02,8.43,39,1.962000012,1.175999999,1.493999958,0.28431067,0,0,0,11000,1000,0,0,0,0,0,4.79125547,0,0,0,0,8.72343063,29.01751055,25.44957733
Namibia,2008,NAM,0,0,0,0,0,293,500,730,399,2236,1003,1233,180,1214,987,0,0,79,23.51099968,19.43799973,21.38199997,0.00033448,0,0,0,16000,2100,0,0,0,0,0,9.92570686,0,0,0,0,21.6314888,59.09090909,174.5613251
Namibia,2015,NAM,0,0,0,0,0,275,426,705,389,2289,1023,1266,150,1403,1083,1.99,8.79,65,22.79999924,19.05500031,20.88199997,0.41040936,49.7,9.9,40.4,15000,1000,0,0,0,0,0,9.70993042,0,0,0,0,5.71171665,19.53214112,61.89604568
Nepal,2015,NPL,0,0,0,0,0,2457,4098,3931,3018,16962,7534,9428,1400,12827,11217,0.76,3.5,64,1.253000021,1.75,1.475000024,0.30659145,24.4,13.3,62.4,1500,100,0,0,0,0,0,6.21927214,0,0,0,0,14.37321758,35.81910893,23.43622589
Nepal,2010,NPL,0,0,0,0,0,1940,3164,3349,2888,22600,10128,12472,1900,16603,14330,0.71,3.3,80,1.271999955,1.756000042,1.516000032,0.28169629,32.1,9.3,58.6,1700,500,0,0,0,0,0,4.97475052,0,0,3.9,0,13.85463905,52.57267972,13.41289139
Netherlands,2010,NLD,0,0,0,0,0,102,227,319,87,680,298,382,13,506,542,4.84,15.73,0.34,5.547999859,4.519999981,4.988999844,0,6.4,4.2,89.4,100,100,0,0,0,0,0,10.15508747,0,0,5.3,0,0,0,0
Nepal,2016,NPL,0,0,0,0,0,1530,3231,3454,1934,16165,7156,9009,1100,12299,10809,0,0,65,1.226999998,1.72300005,1.44599998,0.43057635,25,8.8,66.2,1400,100,0,0,96.5,52.6,42.8,6.27839279,68.9,56,0,66.1,11.70784855,26.58121806,19.41855621
Netherlands,2018,NLD,0,0,0,0,0,77,208,295,59,593,261,332,0,447,402,4.51,14.83,0.14,3.957000017,3.721999884,3.829999924,0,0,0,0,100,100,0,0,0,0,0,9.97458649,0,0,0,0,0.02551747,0,1.43778956
Nicaragua,2010,NIC,0,0,0,0,0,313,604,847,243,2768,1181,1587,150,1860,1753,1.94,7.84,4.7,8.722000122,7.288000107,7.829999924,0.13522308,14.6,14,71.4,500,100,0,0,0,0,0,7.71019173,0,0,10,0,14.19771004,45.76165624,42.55846786
